#TYPE System.Management.Automation.PSCustomObject
"Folder Name","Group/User","Permissions","Inheritance","IsInherited"
"\\crasebismdl16\e$\BI_Triggers","Everyone","ReadAndExecute, Synchronize","ContainerInherit, ObjectInherit","False"
"\\crasebismdl16\e$\BI_Triggers","NT AUTHORITY\SYSTEM","FullControl","ContainerInherit, ObjectInherit","False"
"\\crasebismdl16\e$\BI_Triggers","BUILTIN\Administrators","FullControl","ContainerInherit, ObjectInherit","False"
"\\crasebismdl16\e$\BI_Triggers","US\svccdmf","FullControl","ContainerInherit, ObjectInherit","False"
"\\crasebismdl16\e$\BI_Triggers","US\spthypim","FullControl","ContainerInherit, ObjectInherit","False"
"\\crasebismdl16\e$\BI_Triggers","US\UTADB2WinServRO","ReadAndExecute, Synchronize","ContainerInherit, ObjectInherit","False"
"\\crasebismdl16\e$\OPP","Everyone","ReadAndExecute, Synchronize","ContainerInherit, ObjectInherit","False"
"\\crasebismdl16\e$\OPP","NT AUTHORITY\SYSTEM","FullControl","ContainerInherit, ObjectInherit","False"
"\\crasebismdl16\e$\OPP","BUILTIN\Administrators","FullControl","ContainerInherit, ObjectInherit","False"
"\\crasebismdl16\e$\OPP","US\svccdmf","Modify, Synchronize","ContainerInherit, ObjectInherit","False"
"\\crasebismdl16\e$\OPP","US\spthypim","FullControl","ContainerInherit, ObjectInherit","False"
"\\crasebismdl16\e$\OPP\aemcs","BUILTIN\Administrators","FullControl","None","False"
"\\crasebismdl16\e$\OPP\aemcs","Everyone","ReadAndExecute, Synchronize","ContainerInherit, ObjectInherit","True"
"\\crasebismdl16\e$\OPP\aemcs","NT AUTHORITY\SYSTEM","FullControl","ContainerInherit, ObjectInherit","True"
"\\crasebismdl16\e$\OPP\aemcs","US\spthypim","FullControl","ContainerInherit, ObjectInherit","True"
"\\crasebismdl16\e$\OPP\aemcs","BUILTIN\Administrators","FullControl","ContainerInherit, ObjectInherit","True"
"\\crasebismdl16\e$\OPP\aemcs","US\svccdmf","Modify, Synchronize","ContainerInherit, ObjectInherit","True"
"\\crasebismdl16\e$\OPP\bd","BUILTIN\Administrators","FullControl","None","False"
"\\crasebismdl16\e$\OPP\bd","Everyone","ReadAndExecute, Synchronize","ContainerInherit, ObjectInherit","True"
"\\crasebismdl16\e$\OPP\bd","NT AUTHORITY\SYSTEM","FullControl","ContainerInherit, ObjectInherit","True"
"\\crasebismdl16\e$\OPP\bd","US\spthypim","FullControl","ContainerInherit, ObjectInherit","True"
"\\crasebismdl16\e$\OPP\bd","BUILTIN\Administrators","FullControl","ContainerInherit, ObjectInherit","True"
"\\crasebismdl16\e$\OPP\bd","US\svccdmf","Modify, Synchronize","ContainerInherit, ObjectInherit","True"
"\\crasebismdl16\e$\OPP\cared","BUILTIN\Administrators","FullControl","None","False"
"\\crasebismdl16\e$\OPP\cared","Everyone","ReadAndExecute, Synchronize","ContainerInherit, ObjectInherit","True"
"\\crasebismdl16\e$\OPP\cared","NT AUTHORITY\SYSTEM","FullControl","ContainerInherit, ObjectInherit","True"
"\\crasebismdl16\e$\OPP\cared","US\spthypim","FullControl","ContainerInherit, ObjectInherit","True"
