#TYPE System.Management.Automation.PSCustomObject
"Folder Name","Group/User","Permissions"
"\\CRDBTAFINT02\e$\ImpervaWindowsAgents","Everyone","FullControl"
"\\CRDBTAFINT02\e$\ImpervaWindowsAgents","BUILTIN\Administrators","FullControl"
"\\CRDBTAFINT02\e$\ImpervaWindowsAgents","CREATOR OWNER","FullControl"
"\\CRDBTAFINT02\e$\ImpervaWindowsAgents","NT AUTHORITY\SYSTEM","FullControl"
"\\CRDBTAFINT02\e$\ImpervaWindowsAgents","BUILTIN\Administrators","FullControl"
"\\CRDBTAFINT02\e$\ImpervaWindowsAgents","BUILTIN\Users","CreateFiles, Synchronize"
"\\CRDBTAFINT02\e$\ImpervaWindowsAgents","BUILTIN\Users","AppendData, Synchronize"
"\\CRDBTAFINT02\e$\ImpervaWindowsAgents","BUILTIN\Users","ReadAndExecute, Synchronize"
"\\CRDBTAFINT02\e$\MSDeploymentAgent2013","Everyone","FullControl"
"\\CRDBTAFINT02\e$\MSDeploymentAgent2013","BUILTIN\Administrators","FullControl"
"\\CRDBTAFINT02\e$\MSDeploymentAgent2013","CREATOR OWNER","FullControl"
"\\CRDBTAFINT02\e$\MSDeploymentAgent2013","NT AUTHORITY\SYSTEM","FullControl"
"\\CRDBTAFINT02\e$\MSDeploymentAgent2013","BUILTIN\Administrators","FullControl"
"\\CRDBTAFINT02\e$\MSDeploymentAgent2013","BUILTIN\Users","CreateFiles, Synchronize"
"\\CRDBTAFINT02\e$\MSDeploymentAgent2013","BUILTIN\Users","AppendData, Synchronize"
"\\CRDBTAFINT02\e$\MSDeploymentAgent2013","BUILTIN\Users","ReadAndExecute, Synchronize"
"\\CRDBTAFINT02\e$\MSSQL13.QA","NT AUTHORITY\SYSTEM","FullControl"
"\\CRDBTAFINT02\e$\MSSQL13.QA","Everyone","FullControl"
"\\CRDBTAFINT02\e$\MSSQL13.QA","NT AUTHORITY\SYSTEM","FullControl"
"\\CRDBTAFINT02\e$\MSSQL13.QA","CREATOR OWNER","FullControl"
"\\CRDBTAFINT02\e$\MSSQL13.QA","NT AUTHORITY\SYSTEM","FullControl"
"\\CRDBTAFINT02\e$\MSSQL13.QA","BUILTIN\Administrators","FullControl"
"\\CRDBTAFINT02\e$\MSSQL13.QA","BUILTIN\Users","CreateFiles, Synchronize"
"\\CRDBTAFINT02\e$\MSSQL13.QA","BUILTIN\Users","AppendData, Synchronize"
"\\CRDBTAFINT02\e$\MSSQL13.QA","BUILTIN\Users","ReadAndExecute, Synchronize"
"\\CRDBTAFINT02\e$\MSSQL13.QA\MSSQL13.QA","NT AUTHORITY\SYSTEM","FullControl"
"\\CRDBTAFINT02\e$\MSSQL13.QA\MSSQL13.QA","Everyone","FullControl"
"\\CRDBTAFINT02\e$\MSSQL13.QA\MSSQL13.QA","NT AUTHORITY\SYSTEM","FullControl"
"\\CRDBTAFINT02\e$\MSSQL13.QA\MSSQL13.QA","CREATOR OWNER","FullControl"
"\\CRDBTAFINT02\e$\MSSQL13.QA\MSSQL13.QA","NT AUTHORITY\SYSTEM","FullControl"
"\\CRDBTAFINT02\e$\MSSQL13.QA\MSSQL13.QA","BUILTIN\Administrators","FullControl"
"\\CRDBTAFINT02\e$\MSSQL13.QA\MSSQL13.QA","BUILTIN\Users","CreateFiles, Synchronize"
"\\CRDBTAFINT02\e$\MSSQL13.QA\MSSQL13.QA","BUILTIN\Users","AppendData, Synchronize"
"\\CRDBTAFINT02\e$\MSSQL13.QA\MSSQL13.QA","BUILTIN\Users","ReadAndExecute, Synchronize"
"\\CRDBTAFINT02\e$\MSSQL13.QA\MSSQL13.QA\MSSQL","CREATOR OWNER","FullControl"
"\\CRDBTAFINT02\e$\MSSQL13.QA\MSSQL13.QA\MSSQL","NT AUTHORITY\SYSTEM","FullControl"
"\\CRDBTAFINT02\e$\MSSQL13.QA\MSSQL13.QA\MSSQL","BUILTIN\Administrators","FullControl"
"\\CRDBTAFINT02\e$\MSSQL13.QA\MSSQL13.QA\MSSQL","BUILTIN\Users","ReadAndExecute, Synchronize"
"\\CRDBTAFINT02\e$\MSSQL13.QA\MSSQL13.QA\MSSQL","S-1-5-80-1395653473-2855242088-790343413-2966820898-1835269325","ReadAndExecute, Synchronize"
"\\CRDBTAFINT02\e$\MSSQL13.QA\MSSQL13.QA\MSSQL\Binn","NT AUTHORITY\SYSTEM","FullControl"
"\\CRDBTAFINT02\e$\MSSQL13.QA\MSSQL13.QA\MSSQL\Binn","NT AUTHORITY\SYSTEM","FullControl"
"\\CRDBTAFINT02\e$\MSSQL13.QA\MSSQL13.QA\MSSQL\Binn","CREATOR OWNER","FullControl"
"\\CRDBTAFINT02\e$\MSSQL13.QA\MSSQL13.QA\MSSQL\Binn","NT AUTHORITY\SYSTEM","FullControl"
"\\CRDBTAFINT02\e$\MSSQL13.QA\MSSQL13.QA\MSSQL\Binn","BUILTIN\Administrators","FullControl"
"\\CRDBTAFINT02\e$\MSSQL13.QA\MSSQL13.QA\MSSQL\Binn","BUILTIN\Users","ReadAndExecute, Synchronize"
"\\CRDBTAFINT02\e$\MSSQL13.QA\MSSQL13.QA\MSSQL\Binn","S-1-5-80-1395653473-2855242088-790343413-2966820898-1835269325","ReadAndExecute, Synchronize"
"\\CRDBTAFINT02\e$\MSSQL13.QA\MSSQL13.QA\MSSQL\Install","NT AUTHORITY\SYSTEM","FullControl"
"\\CRDBTAFINT02\e$\MSSQL13.QA\MSSQL13.QA\MSSQL\Install","NT AUTHORITY\SYSTEM","FullControl"
"\\CRDBTAFINT02\e$\MSSQL13.QA\MSSQL13.QA\MSSQL\Install","CREATOR OWNER","FullControl"
"\\CRDBTAFINT02\e$\MSSQL13.QA\MSSQL13.QA\MSSQL\Install","NT AUTHORITY\SYSTEM","FullControl"
"\\CRDBTAFINT02\e$\MSSQL13.QA\MSSQL13.QA\MSSQL\Install","BUILTIN\Administrators","FullControl"
"\\CRDBTAFINT02\e$\MSSQL13.QA\MSSQL13.QA\MSSQL\Install","BUILTIN\Users","ReadAndExecute, Synchronize"
